county,date,deaths,name,population,population-per-100K,deaths-per-100K
Jones,2020-03-09,0,Jones,20083.0,0.20083,0.0
Karnes,2020-03-09,0,Karnes,15601.0,0.15601,0.0
Kaufman,2020-03-09,0,Kaufman,136154.0,1.36154,0.0
Kendall,2020-03-09,0,Kendall,47431.0,0.47431,0.0
Kenedy,2020-03-09,0,Kenedy,404.0,0.00404,0.0
Kent,2020-03-09,0,Kent,762.0,0.00762,0.0
Kerr,2020-03-09,0,Kerr,52600.0,0.526,0.0
Kimble,2020-03-09,0,Kimble,4337.0,0.04337,0.0
King,2020-03-09,0,King,272.0,0.00272,0.0
Kinney,2020-03-09,0,Kinney,3667.0,0.03667,0.0
Kleberg,2020-03-09,0,Kleberg,30680.0,0.3068,0.0
Knox,2020-03-09,0,Knox,3664.0,0.03664,0.0
La salle,2020-03-09,0,,,,
Lamar,2020-03-09,0,Lamar,49859.0,0.49859,0.0
Lamb,2020-03-09,0,Lamb,12893.0,0.12893,0.0
Lampasas,2020-03-09,0,Lampasas,21428.0,0.21428,0.0
Lavaca,2020-03-09,0,Lavaca,20154.0,0.20154,0.0
Lee,2020-03-09,0,Lee,17239.0,0.17239,0.0
Leon,2020-03-09,0,Leon,17404.0,0.17404,0.0
Liberty,2020-03-09,0,Liberty,88219.0,0.88219,0.0
Limestone,2020-03-09,0,Limestone,23437.0,0.23437,0.0
Lipscomb,2020-03-09,0,Lipscomb,3233.0,0.03233,0.0
Live oak,2020-03-09,0,,,,
Llano,2020-03-09,0,Llano,21795.0,0.21795,0.0
Loving,2020-03-09,0,Loving,169.0,0.00169,0.0
Lubbock,2020-03-09,0,Lubbock,310569.0,3.10569,0.0
Lynn,2020-03-09,0,Lynn,5951.0,0.05951,0.0
Madison,2020-03-09,0,Madison,14284.0,0.14284,0.0
Marion,2020-03-09,0,Marion,9854.0,0.09854,0.0
Martin,2020-03-09,0,Martin,5771.0,0.05771,0.0
Mason,2020-03-09,0,Mason,4274.0,0.04274,0.0
Matagorda,2020-03-09,0,Matagorda,36643.0,0.36643,0.0
Maverick,2020-03-09,0,Maverick,58722.0,0.58722,0.0
Mcculloch,2020-03-09,0,,,,
Mclennan,2020-03-09,0,,,,
Mcmullen,2020-03-09,0,,,,
Medina,2020-03-09,0,Medina,51584.0,0.51584,0.0
Menard,2020-03-09,0,Menard,2138.0,0.02138,0.0
Midland,2020-03-09,0,Midland,176832.0,1.76832,0.0
Milam,2020-03-09,0,Milam,24823.0,0.24823,0.0
Mills,2020-03-09,0,Mills,4873.0,0.04873,0.0
Mitchell,2020-03-09,0,Mitchell,8545.0,0.08545,0.0
Montague,2020-03-09,0,Montague,19818.0,0.19818,0.0
Montgomery,2020-03-09,0,Montgomery,607391.0,6.07391,0.0
Moore,2020-03-09,0,Moore,20940.0,0.2094,0.0
Morris,2020-03-09,0,Morris,12388.0,0.12388,0.0
Motley,2020-03-09,0,Motley,1200.0,0.012,0.0
Nacogdoches,2020-03-09,0,Nacogdoches,65204.0,0.65204,0.0
Navarro,2020-03-09,0,Navarro,50113.0,0.50113,0.0
Newton,2020-03-09,0,Newton,13595.0,0.13595,0.0
Nolan,2020-03-09,0,Nolan,14714.0,0.14714,0.0
Nueces,2020-03-09,0,Nueces,362294.0,3.62294,0.0
Ochiltree,2020-03-09,0,Ochiltree,9836.0,0.09836,0.0
Oldham,2020-03-09,0,Oldham,2112.0,0.02112,0.0
Orange,2020-03-09,0,Orange,83396.0,0.83396,0.0
Palo pinto,2020-03-09,0,,,,
Panola,2020-03-09,0,Panola,23194.0,0.23194,0.0
Parker,2020-03-09,0,Parker,142878.0,1.42878,0.0
