county,date,cases,name,population,population-per-100K,cases-per-100K
Lynn,2020-03-06,0,Lynn,5951,0.05951,0.0
McCulloch,2020-03-06,0,McCulloch,7984,0.07984,0.0
McLennan,2020-03-06,0,McLennan,256623,2.56623,0.0
McMullen,2020-03-06,0,McMullen,743,0.00743,0.0
Madison,2020-03-06,0,Madison,14284,0.14284,0.0
Marion,2020-03-06,0,Marion,9854,0.09854,0.0
Martin,2020-03-06,0,Martin,5771,0.05771,0.0
Mason,2020-03-06,0,Mason,4274,0.04274,0.0
Matagorda,2020-03-06,0,Matagorda,36643,0.36643,0.0
Maverick,2020-03-06,0,Maverick,58722,0.58722,0.0
Medina,2020-03-06,0,Medina,51584,0.51584,0.0
Menard,2020-03-06,0,Menard,2138,0.02138,0.0
Midland,2020-03-06,0,Midland,176832,1.76832,0.0
Milam,2020-03-06,0,Milam,24823,0.24823,0.0
Mills,2020-03-06,0,Mills,4873,0.04873,0.0
Mitchell,2020-03-06,0,Mitchell,8545,0.08545,0.0
Montague,2020-03-06,0,Montague,19818,0.19818,0.0
Montgomery,2020-03-06,0,Montgomery,607391,6.07391,0.0
Moore,2020-03-06,0,Moore,20940,0.2094,0.0
Morris,2020-03-06,0,Morris,12388,0.12388,0.0
Motley,2020-03-06,0,Motley,1200,0.012,0.0
Nacogdoches,2020-03-06,0,Nacogdoches,65204,0.65204,0.0
Navarro,2020-03-06,0,Navarro,50113,0.50113,0.0
Newton,2020-03-06,0,Newton,13595,0.13595,0.0
Nolan,2020-03-06,0,Nolan,14714,0.14714,0.0
Nueces,2020-03-06,0,Nueces,362294,3.62294,0.0
Ochiltree,2020-03-06,0,Ochiltree,9836,0.09836,0.0
Oldham,2020-03-06,0,Oldham,2112,0.02112,0.0
Orange,2020-03-06,0,Orange,83396,0.83396,0.0
Palo Pinto,2020-03-06,0,Palo Pinto,29189,0.29189,0.0
Panola,2020-03-06,0,Panola,23194,0.23194,0.0
Parker,2020-03-06,0,Parker,142878,1.42878,0.0
Parmer,2020-03-06,0,Parmer,9605,0.09605,0.0
Pecos,2020-03-06,0,Pecos,15823,0.15823,0.0
Polk,2020-03-06,0,Polk,51353,0.51353,0.0
Potter,2020-03-06,0,Potter,117415,1.17415,0.0
Presidio,2020-03-06,0,Presidio,6704,0.06704,0.0
Rains,2020-03-06,0,Rains,12514,0.12514,0.0
Randall,2020-03-06,0,Randall,137713,1.37713,0.0
Reagan,2020-03-06,0,Reagan,3849,0.03849,0.0
Real,2020-03-06,0,Real,3452,0.03452,0.0
Red River,2020-03-06,0,Red River,12023,0.12023,0.0
